Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belarus,BLR,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1501.5,1949.7,2000.7,2477.8,2433.0,2986.1,2848.5,2550.5,2880.9,3549.7,3367.9,2808.3,3241.4,3479.1,3007.8,3720.5,3690.2,3207.3,3358.7,2723.9,3095.6,3539.9,3018.7,2971.1,
Belize,BLZ,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2805.4,2418.3,3100.0,2448.9,2851.8,2365.7,2869.5,2672.3,2939.5,2427.2,2686.5,3223.4,3155.5,3451.1,3615.6,3594.6,2897.8,3164.6,4229.1,4043.7,2946.5,3526.3,4289.5,4476.2,
Bermuda,BMU,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1366.5,1641.9,1784.9,1712.4,1963.3,1618.7,1927.0,2100.1,1763.3,2016.4,2346.0,2267.3,2045.3,2113.2,1717.9,1958.1,2280.2,2111.3,1845.6,2333.7,2030.1,2024.0,2523.0,1716.7,
Brazil,BRA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2732.0,2643.3,3147.6,2844.8,3385.4,3131.8,2882.6,3210.5,3553.1,3831.3,3532.1,4040.6,4037.5,4584.5,4826.4,4640.4,5000.6,4181.7,5209.6,4806.5,5321.4,5255.4,4477.4,4901.1,
Barbados,BRB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2600.0,2608.7,2604.2,2626.5,2630.0,2659.6,2736.8,2700.0,2666.7,2740.9,2827.1,2884.2,2987.6,3200.0,2833.3,2700.0,2695.6,2755.8,2815.6,2835.6,2787.6,2765.6,2759.3,2753.0,
Brunei Darussalam,BRN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,789.5,1006.5,892.4,888.1,819.3,793.5,744.3,795.2,900.7,821.4,773.7,1000.0,1466.7,1375.0,1461.5,1615.4,2384.6,1714.3,1769.2,2000.0,2090.9,3000.0,2733.3,2800.0,
Bhutan,BTN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1506.7,1437.9,1449.4,1549.0,1791.3,2995.2,2334.9,2199.7,1999.2,2741.5,2160.4,2469.1,2801.7,2944.2,3226.4,3254.9,3475.8,3373.4,3411.5,3416.5,3083.5,3435.2,3344.0,3448.9,
Botswana,BWA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,228.5,152.6,554.4,357.3,1214.5,274.3,438.6,372.4,639.2,360.8,363.6,371.6,452.3,367.2,217.6,305.2,938.4,471.6,316.6,549.5,675.1,1033.8,1002.4,684.1,
Central African Republic,CAF,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1006.8,993.3,1032.6,1048.3,1009.5,1007.7,1018.2,989.7,951.2,946.8,948.4,907.7,965.7,942.0,910.9,896.0,884.1,875.1,871.5,863.8,859.3,713.0,807.2,830.0,
